Actual,pred,PredLag,stock,Date
41.7599983215332,41.789337,42.476902,CSCO,2020-04-22
41.61999893188477,42.476902,42.214592,CSCO,2020-04-23
42.52000045776367,42.214592,42.915077,CSCO,2020-04-24
43.060001373291016,42.915077,43.340042,CSCO,2020-04-27
42.4900016784668,43.340042,42.988213,CSCO,2020-04-28
43.34000015258789,42.988213,43.676834,CSCO,2020-04-29
42.38000106811523,43.676834,42.93353,CSCO,2020-04-30
40.91999816894531,42.93353,41.87848,CSCO,2020-05-01
41.349998474121094,41.87848,41.859257,CSCO,2020-05-04
41.459999084472656,41.859257,41.708847,CSCO,2020-05-05
41.150001525878906,41.708847,41.3568,CSCO,2020-05-06
41.36999893188477,41.3568,41.407207,CSCO,2020-05-07
42.9900016784668,41.407207,42.689133,CSCO,2020-05-08
43.31999969482422,42.689133,43.047215,CSCO,2020-05-11
43.22000122070313,43.047215,43.155937,CSCO,2020-05-12
41.95000076293945,43.155937,42.271587,CSCO,2020-05-13
43.849998474121094,42.271587,43.7456,CSCO,2020-05-14
44.27000045776368,43.7456,44.048027,CSCO,2020-05-15
45.06000137329102,44.048027,44.89678,CSCO,2020-05-18
44.61000061035156,44.89678,44.70042,CSCO,2020-05-19
45.43999862670898,44.70042,45.49003,CSCO,2020-05-20
44.63999938964844,45.49003,44.945377,CSCO,2020-05-21
44.900001525878906,44.945377,45.24777,CSCO,2020-05-22
44.84000015258789,45.24777,45.13669,CSCO,2020-05-26
45.959999084472656,45.13669,45.982113,CSCO,2020-05-27
45.599998474121094,45.982113,45.812435,CSCO,2020-05-28
47.81999969482422,45.812435,47.251392,CSCO,2020-05-29
46.29999923706055,47.251392,46.654114,CSCO,2020-06-01
46.88999938964844,46.654114,47.21321,CSCO,2020-06-02
46.93999862670897,47.21321,47.117554,CSCO,2020-06-03
46.86000061035156,47.117554,47.177513,CSCO,2020-06-04
47.83000183105469,47.177513,47.72942,CSCO,2020-06-05
48.13000106811523,47.72942,48.04409,CSCO,2020-06-08
48.04999923706055,48.04409,48.1564,CSCO,2020-06-09
47.41999816894531,48.1564,47.88014,CSCO,2020-06-10
43.66999816894531,47.88014,45.77378,CSCO,2020-06-11
45.06999969482421,45.77378,46.269512,CSCO,2020-06-12
45.349998474121094,46.269512,46.003933,CSCO,2020-06-15
46.47999954223633,46.003933,46.703876,CSCO,2020-06-16
46.16999816894531,46.703876,46.582386,CSCO,2020-06-17
45.83000183105469,46.582386,46.45512,CSCO,2020-06-18
45.31999969482422,46.45512,46.071728,CSCO,2020-06-19
45.15999984741211,46.071728,45.86212,CSCO,2020-06-22
45.47000122070313,45.86212,45.930443,CSCO,2020-06-23
44.75,45.930443,45.360542,CSCO,2020-06-24
45.22000122070313,45.360542,45.58957,CSCO,2020-06-25
46.31000137329102,45.58957,46.20517,CSCO,2020-06-26
46.1500015258789,46.20517,46.185913,CSCO,2020-06-29
46.63999938964844,46.185913,46.61354,CSCO,2020-06-30
46.06000137329102,46.61354,46.253822,CSCO,2020-07-01
45.63000106811523,46.253822,45.98132,CSCO,2020-07-02
46.41999816894531,45.98132,46.40314,CSCO,2020-07-06
45.63000106811523,46.40314,45.833252,CSCO,2020-07-07
45.81000137329102,45.833252,45.976036,CSCO,2020-07-08
46.70000076293945,45.976036,46.46502,CSCO,2020-07-09
46.65999984741211,46.46502,46.52604,CSCO,2020-07-10
45.93000030517578,46.52604,46.145367,CSCO,2020-07-13
46.2599983215332,46.145367,46.36365,CSCO,2020-07-14
46.4000015258789,46.36365,46.403076,CSCO,2020-07-15
45.77999877929688,46.403076,46.028576,CSCO,2020-07-16
46.75,46.028576,46.656883,CSCO,2020-07-17
46.97000122070313,46.656883,46.8104,CSCO,2020-07-20
47.02000045776367,46.8104,46.985683,CSCO,2020-07-21
46.9000015258789,46.985683,46.977596,CSCO,2020-07-22
47.40999984741211,46.977596,47.33606,CSCO,2020-07-23
46.4000015258789,47.33606,46.755722,CSCO,2020-07-24
47.18999862670898,46.755722,47.26641,CSCO,2020-07-27
46.27999877929688,47.26641,46.62476,CSCO,2020-07-28
46.709999084472656,46.62476,46.932915,CSCO,2020-07-29
46.43999862670898,46.932915,46.651768,CSCO,2020-07-30
47.099998474121094,46.651768,47.094364,CSCO,2020-07-31
47.15999984741211,47.094364,47.1542,CSCO,2020-08-03
47.66999816894531,47.1542,47.55494,CSCO,2020-08-04
47.33000183105469,47.55494,47.449654,CSCO,2020-08-05
47.77000045776367,47.449654,47.767918,CSCO,2020-08-06
47.43000030517578,47.767918,47.60027,CSCO,2020-08-07
47.72999954223633,47.60027,47.808784,CSCO,2020-08-10
47.18999862670898,47.808784,47.477898,CSCO,2020-08-11
48.099998474121094,47.477898,47.981182,CSCO,2020-08-12
42.72000122070313,47.981182,45.536446,CSCO,2020-08-13
42.5,45.536446,44.80512,CSCO,2020-08-14
42.09000015258789,44.80512,43.721207,CSCO,2020-08-17
41.97999954223633,43.721207,43.201393,CSCO,2020-08-18
41.86999893188477,43.201393,42.752316,CSCO,2020-08-19
42.310001373291016,42.752316,42.795437,CSCO,2020-08-20
42.25,42.795437,42.58453,CSCO,2020-08-21
42.18000030517578,42.58453,42.40443,CSCO,2020-08-24
41.959999084472656,42.40443,42.09099,CSCO,2020-08-25
42.25,42.09099,42.16152,CSCO,2020-08-26
